misra1,misra2,poet
جوش وحشت ہے تشنہ کام ابھی ,چاک دامن کو تا جگر کر دے ,Faiz Ahamd Faiz
میری قسمت سے کھیلنے والے ,مجھ کو قسمت سے بے خبر کر دے ,Faiz Ahamd Faiz
لٹ رہی ہے مری متاع نیاز ,کاش وہ اس طرف نظر کر دے ,Faiz Ahamd Faiz
فیضؔ تکمیل آرزو معلوم ,ہو سکے تو یوں ہی بسر کر دے ,Faiz Ahamd Faiz
حیراں ہے جبیں آج کدھر سجدہ روا ہے ,سر پر ہیں خداوند سر عرش خدا ہے ,Faiz Ahamd Faiz
کب تک اسے سینچو گے تمنائے ثمر میں ,یہ صبر کا پودا تو نہ پھولا نہ پھلا ہے ,Faiz Ahamd Faiz
ملتا ہے خراج اس کو تری نان جویں سے ,ہر بادشہ وقت ترے در کا گدا ہے ,Faiz Ahamd Faiz
ہر ایک عقوبت سے ہے تلخی میں سوا تر ,وہ رنگ جو ناکردہ گناہوں کی سزا ہے ,Faiz Ahamd Faiz
احسان لیے کتنے مسیحا نفسوں کے ,کیا کیجیے دل کا نہ جلا ہے نہ بجھا ہے ,Faiz Ahamd Faiz
نہ کسی پہ زخم عیاں کوئی نہ کسی کو فکر رفو کی ہے ,نہ کرم ہے ہم پہ حبیب کا نہ نگاہ ہم پہ عدو کی ہے ,Faiz Ahamd Faiz
صف زاہداں ہے تو بے یقیں صف مے کشاں ہے تو بے طلب ,نہ وہ صبح ورد و وضو کی ہے نہ وہ شام جام و سبو کی ہے ,Faiz Ahamd Faiz
نہ یہ غم نیا نہ ستم نیا کہ تری جفا کا گلا کریں ,یہ نظر تھی پہلے بھی مضطرب یہ کسک تو دل میں کبھو کی ہے ,Faiz Ahamd Faiz
کف باغباں پہ بہار گل کا ہے قرض پہلے سے بیشتر ,کہ ہر ایک پھول کے پیرہن میں نمود میرے لہو کی ہے ,Faiz Ahamd Faiz
نہیں خوف روز سیہ ہمیں کہ ہے فیضؔ ظرف نگاہ میں ,ابھی گوشہ گیر وہ اک کرن جو لگن اس آئینہ رو کی ہے ,Faiz Ahamd Faiz
حسن مرہون جوش بادۂ ناز ,عشق منت کش فسون نیاز ,Faiz Ahamd Faiz
دل کا ہر تار لرزش پیہم ,جاں کا ہر رشتہ وقف سوز و گداز ,Faiz Ahamd Faiz
سوزش درد دل کسے معلوم ,کون جانے کسی کے عشق کا راز ,Faiz Ahamd Faiz
میری خاموشیوں میں لرزاں ہے ,میرے نالوں کی گم شدہ آواز ,Faiz Ahamd Faiz
ہو چکا عشق اب ہوس ہی سہی ,کیا کریں فرض ہے ادائے نماز ,Faiz Ahamd Faiz
تو ہے اور اک تغافل پیہم ,میں ہوں اور انتظار بے انداز ,Faiz Ahamd Faiz
خوف ناکامئ امید ہے فیضؔ ,ورنہ دل توڑ دے طلسم مجاز ,Faiz Ahamd Faiz
کچھ پہلے ان آنکھوں آگے کیا کیا نہ نظارا گزرے تھا ,کیا روشن ہو جاتی تھی گلی جب یار ہمارا گزرے تھا ,Faiz Ahamd Faiz
تھے کتنے اچھے لوگ کہ جن کو اپنے غم سے فرصت تھی ,سب پوچھیں تھے احوال جو کوئی درد کا مارا گزرے تھا ,Faiz Ahamd Faiz
اب کے خزاں ایسی ٹھہری وہ سارے زمانے بھول گئے ,جب موسم گل ہر پھیرے میں آ آ کے دوبارا گزرے تھا ,Faiz Ahamd Faiz
تھی یاروں کی بہتات تو ہم اغیار سے بھی بیزار نہ تھے ,جب مل بیٹھے تو دشمن کا بھی ساتھ گوارا گزرے تھا ,Faiz Ahamd Faiz
اب تو ہاتھ سجھائی نہ دیوے لیکن اب سے پہلے تو ,آنکھ اٹھتے ہی ایک نظر میں عالم سارا گزرے تھا ,Faiz Ahamd Faiz
ستم کی رسمیں بہت تھیں لیکن نہ تھی تری انجمن سے پہلے ,سزا خطائے نظر سے پہلے عتاب جرم سخن سے پہلے ,Faiz Ahamd Faiz
جو چل سکو تو چلو کہ راہ وفا بہت مختصر ہوئی ہے ,مقام ہے اب کوئی نہ منزل فراز دار و رسن سے پہلے ,Faiz Ahamd Faiz
نہیں رہی اب جنوں کی زنجیر پر وہ پہلی اجارہ داری ,گرفت کرتے ہیں کرنے والے خرد پہ دیوانہ پن سے پہلے ,Faiz Ahamd Faiz
کرے کوئی تیغ کا نظارا اب ان کو یہ بھی نہیں گوارا ,بضد ہے قاتل کہ جان بسمل فگار ہو جسم و تن سے پہلے ,Faiz Ahamd Faiz
غرور سرو و سمن سے کہہ دو کہ پھر وہی تاجدار ہوں گے ,جو خار و خس والئ چمن تھے عروج سرو و سمن سے پہلے ,Faiz Ahamd Faiz
ادھر تقاضے ہیں مصلحت کے ادھر تقاضائے درد دل ہے ,زباں سنبھالیں کہ دل سنبھالیں اسیر ذکر وطن سے پہلے ,Faiz Ahamd Faiz
گرانئ شب ہجراں دو چند کیا کرتے ,علاج درد ترے دردمند کیا کرتے ,Faiz Ahamd Faiz
وہیں لگی ہے جو نازک مقام تھے دل کے ,یہ فرق دست عدو کے گزند کیا کرتے ,Faiz Ahamd Faiz
جگہ جگہ پہ تھے ناصح تو کو بہ کو دلبر ,انہیں پسند انہیں ناپسند کیا کرتے ,Faiz Ahamd Faiz
ہمیں نے روک لیا پنجۂ جنوں ورنہ ,ہمیں اسیر یہ کوتہ کمند کیا کرتے ,Faiz Ahamd Faiz
جنہیں خبر تھی کہ شرط نواگری کیا ہے ,وہ خوش نوا گلۂ قید و بند کیا کرتے ,Faiz Ahamd Faiz
گلوئے عشق کو دار و رسن پہنچ نہ سکے ,تو لوٹ آئے ترے سر بلند کیا کرتے ,Faiz Ahamd Faiz
تیری صورت جو دل نشیں کی ہے ,آشنا شکل ہر حسیں کی ہے ,Faiz Ahamd Faiz
حسن سے دل لگا کے ہستی کی ,ہر گھڑی ہم نے آتشیں کی ہے ,Faiz Ahamd Faiz
صبح گل ہو کہ شام مے خانہ ,مدح اس روئے نازنیں کی ہے ,Faiz Ahamd Faiz
شیخ سے بے ہراس ملتے ہیں ,ہم نے توبہ ابھی نہیں کی ہے ,Faiz Ahamd Faiz
ذکر دوزخ بیان حور و قصور ,بات گویا یہیں کہیں کی ہے ,Faiz Ahamd Faiz
اشک تو کچھ بھی رنگ لا نہ سکے ,خوں سے تر آج آستیں کی ہے ,Faiz Ahamd Faiz
کیسے مانیں حرم کے سہل پسند ,رسم جو عاشقوں کے دیں کی ہے ,Faiz Ahamd Faiz
فیضؔ اوج خیال سے ہم نے ,آسماں سندھ کی زمیں کی ہے ,Faiz Ahamd Faiz
ستم سکھلائے گا رسم وفا ایسے نہیں ہوتا ,صنم دکھلائیں گے راہ خدا ایسے نہیں ہوتا ,Faiz Ahamd Faiz
گنو سب حسرتیں جو خوں ہوئی ہیں تن کے مقتل میں ,مرے قاتل حساب خوں بہا ایسے نہیں ہوتا ,Faiz Ahamd Faiz
جہان دل میں کام آتی ہیں تدبیریں نہ تعزیریں ,یہاں پیمان تسلیم و رضا ایسے نہیں ہوتا ,Faiz Ahamd Faiz
ہر اک شب ہر گھڑی گزرے قیامت یوں تو ہوتا ہے ,مگر ہر صبح ہو روز جزا ایسے نہیں ہوتا ,Faiz Ahamd Faiz
رواں ہے نبض دوراں گردشوں میں آسماں سارے ,جو تم کہتے ہو سب کچھ ہو چکا ایسے نہیں ہوتا ,Faiz Ahamd Faiz
ہم سادہ ہی ایسے تھے کی یوں ہی پذیرائی ,جس بار خزاں آئی سمجھے کہ بہار آئی ,Faiz Ahamd Faiz
آشوب نظر سے کی ہم نے چمن آرائی ,جو شے بھی نظر آئی گل رنگ نظر آئی ,Faiz Ahamd Faiz
امید تلطف میں رنجیدہ رہے دونوں ,تو اور تری محفل میں اور مری تنہائی ,Faiz Ahamd Faiz
یک جان نہ ہو سکیے انجان نہ بن سکیے ,یوں ٹوٹ گئی دل میں شمشیر شناسائی ,Faiz Ahamd Faiz
اس تن کی طرف دیکھو جو قتل گہ دل ہے ,کیا رکھا ہے مقتل میں اے چشم تماشائی ,Faiz Ahamd Faiz
تجھے پکارا ہے بے ارادہ ,جو دل دکھا ہے بہت زیادہ ,Faiz Ahamd Faiz
ندیم ہو تیرا حرف شیریں ,تو رنگ پر آئے رنگ بادہ ,Faiz Ahamd Faiz
عطا کرو اک ادائے دیریں ,تو اشک سے تر کریں لبادہ ,Faiz Ahamd Faiz
نہ جانے کس دن سے منتظر ہے ,دل سر رہ گزر فتادہ ,Faiz Ahamd Faiz
کہ ایک دن پھر نظر میں آئے ,وہ بام روشن وہ در کشادہ ,Faiz Ahamd Faiz
وہ آئے پرسش کو پھر سجائے ,قبائے رنگیں ادائے سادہ ,Faiz Ahamd Faiz
یاد غزال چشماں ذکر سمن عذاراں ,جب چاہا کر لیا ہے کنج قفس بہاراں ,Faiz Ahamd Faiz
آنکھوں میں درد مندی ہونٹوں پہ عذر خواہی ,جانانہ وار آئی شام فراق یاراں ,Faiz Ahamd Faiz
ناموس جان و دل کی بازی لگی تھی ورنہ ,آساں نہ تھی کچھ ایسی راہ وفا شعاراں ,Faiz Ahamd Faiz
مجرم ہو خواہ کوئی رہتا ہے ناصحوں کا ,روئے سخن ہمیشہ سوئے جگر فگاراں ,Faiz Ahamd Faiz
ہے اب بھی وقت زاہد ترمیم زہد کر لے ,سوئے حرم چلا ہے انبوہ بادہ خواراں ,Faiz Ahamd Faiz
شاید قریب پہنچی صبح وصال ہمدم ,موج صبا لیے ہے خوشبوئے خوش کناراں ,Faiz Ahamd Faiz
ہے اپنی کشت ویراں سرسبز اس یقیں سے ,آئیں گے اس طرف بھی اک روز ابر و باراں ,Faiz Ahamd Faiz
آئے گی فیضؔ اک دن باد بہار لے کر ,تسلیم مے فروشاں پیغام مے گساراں ,Faiz Ahamd Faiz
شفق کی راکھ میں جل بجھ گیا ستارۂ شام ,شب فراق کے گیسو فضا میں لہرائے ,Faiz Ahamd Faiz
کوئی پکارو کہ اک عمر ہونے آئی ہے ,فلک کو قافلۂ روز و شام ٹھہرائے ,Faiz Ahamd Faiz
یہ ضد ہے یاد حریفان بادہ پیما کی ,کہ شب کو چاند نہ نکلے نہ دن کو ابر آئے ,Faiz Ahamd Faiz
صبا نے پھر در زنداں پہ آ کے دی دستک ,سحر قریب ہے دل سے کہو نہ گھبرائے ,Faiz Ahamd Faiz
شرح فراق مدح لب مشکبو کریں ,غربت کدے میں کس سے تری گفتگو کریں ,Faiz Ahamd Faiz
یار آشنا نہیں کوئی ٹکرائیں کس سے جام ,کس دل ربا کے نام پہ خالی سبو کریں ,Faiz Ahamd Faiz
سینے پہ ہاتھ ہے نہ نظر کو تلاش بام ,دل ساتھ دے تو آج غم آرزو کریں ,Faiz Ahamd Faiz
کب تک سنے گی رات کہاں تک سنائیں ہم ,شکوے گلے سب آج ترے روبرو کریں ,Faiz Ahamd Faiz
ہمدم حدیث کوئے ملامت سنائیو ,دل کو لہو کریں یا گریباں رفو کریں ,Faiz Ahamd Faiz
آشفتہ سر ہیں محتسبو منہ نہ آئیو ,سر بیچ دیں تو فکر دل و جاں عدو کریں ,Faiz Ahamd Faiz
''تر دامنی پہ شیخ ہماری نہ جائیو ,دامن نچوڑ دیں تو فرشتے وضو کریں'' ,Faiz Ahamd Faiz
یوں بہار آئی ہے اس بار کہ جیسے قاصد ,کوچۂ یار سے بے نیل مرام آتا ہے ,Faiz Ahamd Faiz
ہر کوئی شہر میں پھرتا ہے سلامت دامن ,رند مے خانے سے شائستہ خرام آتا ہے ,Faiz Ahamd Faiz
ہوس مطرب و ساقی میں پریشاں اکثر ,ابر آتا ہے کبھی ماہ تمام آتا ہے ,Faiz Ahamd Faiz
شوق والوں کی حزیں محفل شب میں اب بھی ,آمد صبح کی صورت ترا نام آتا ہے ,Faiz Ahamd Faiz
اب بھی اعلان سحر کرتا ہوا مست کوئی ,داغ دل کر کے فروزاں سر شام آتا ہے ,Faiz Ahamd Faiz
صبح کی آج جو رنگت ہے وہ پہلے تو نہ تھی ,کیا خبر آج خراماں سر گلزار ہے کون ,Faiz Ahamd Faiz
شام گلنار ہوئی جاتی ہے دیکھو تو سہی ,یہ جو نکلا ہے لیے مشعل رخسار ہے کون ,Faiz Ahamd Faiz
رات مہکی ہوئی آئی ہے کہیں سے پوچھو ,آج بکھرائے ہوئے زلف طرحدار ہے کون ,Faiz Ahamd Faiz
پھر در دل پہ کوئی دینے لگا ہے دستک ,جانیے پھر دل وحشی کا طلب گار ہے کون ,Faiz Ahamd Faiz
فکر دل دارئ گلزار کروں یا نہ کروں ,ذکر مرغان گرفتار کروں یا نہ کروں ,Faiz Ahamd Faiz
قصۂ سازش اغیار کہوں یا نہ کہوں ,شکوۂ یار طرحدار کروں یا نہ کروں ,Faiz Ahamd Faiz
جانے کیا وضع ہے اب رسم وفا کی اے دل ,وضع دیرینہ پہ اصرار کروں یا نہ کروں ,Faiz Ahamd Faiz
جانے کس رنگ میں تفسیر کریں اہل ہوس ,مدح زلف و لب و رخسار کروں یا نہ کروں ,Faiz Ahamd Faiz
یوں بہار آئی ہے امسال کہ گلشن میں صبا ,پوچھتی ہے گزر اس بار کروں یا نہ کروں ,Faiz Ahamd Faiz
گویا اس سوچ میں ہے دل میں لہو بھر کے گلاب ,دامن و جیب کو گلنار کروں یا نہ کروں ,Faiz Ahamd Faiz
ہے فقط مرغ غزل خواں کہ جسے فکر نہیں ,معتدل گرمئ گفتار کروں یا نہ کروں ,Faiz Ahamd Faiz
کس حرف پہ تو نے گوشۂ لب اے جان جہاں غماز کیا ,اعلان جنوں دل والوں نے اب کے بہ ہزار انداز کیا ,Faiz Ahamd Faiz
سو پیکاں تھے پیوست گلو جب چھیڑی شوق کی لے ہم نے ,سو تیر ترازو تھے دل میں جب ہم نے رقص آغاز کیا ,Faiz Ahamd Faiz
بے حرص و ہوا بے خوف و خطر اس ہاتھ پہ سر اس کف پہ جگر ,یوں کوئے صنم میں وقت سفر نظارۂ بام ناز کیا ,Faiz Ahamd Faiz
جس خاک میں مل کر خاک ہوئے وہ سرمۂ چشم خلق بنی ,جس خار پہ ہم نے خوں چھڑکا ہم رنگ گل طناز کیا ,Faiz Ahamd Faiz
لو وصل کی ساعت آ پہنچی پھر حکم حضوری پر ہم نے ,آنکھوں کے دریچے بند کیے اور سینے کا در باز کیا ,Faiz Ahamd Faiz
یاد کا پھر کوئی دروازہ کھلا آخر شب ,دل میں بکھری کوئی خوشبوئے قبا آخر شب ,Faiz Ahamd Faiz
صبح پھوٹی تو وہ پہلو سے اٹھا آخر شب ,وہ جو اک عمر سے آیا نہ گیا آخر شب ,Faiz Ahamd Faiz
چاند سے ماند ستاروں نے کہا آخر شب ,کون کرتا ہے وفا عہد وفا آخر شب ,Faiz Ahamd Faiz
لمس جانانہ لیے مستیٔ پیمانہ لیے ,حمد باری کو اٹھے دست دعا آخر شب ,Faiz Ahamd Faiz
گھر جو ویراں تھا سر شام وہ کیسے کیسے ,فرقت یار نے آباد کیا آخر شب ,Faiz Ahamd Faiz
جس ادا سے کوئی آیا تھا کبھی اول شب ,''اسی انداز سے چل باد صبا آخر شب'' ,Faiz Ahamd Faiz
سہل یوں راہ زندگی کی ہے ,ہر قدم ہم نے عاشقی کی ہے ,Faiz Ahamd Faiz
ہم نے دل میں سجا لیے گلشن ,جب بہاروں نے بے رخی کی ہے ,Faiz Ahamd Faiz
زہر سے دھو لیے ہیں ہونٹ اپنے ,لطف ساقی نے جب کمی کی ہے ,Faiz Ahamd Faiz
تیرے کوچے میں بادشاہی کی ,جب سے نکلے گداگری کی ہے ,Faiz Ahamd Faiz
بس وہی سرخ رو ہوا جس نے ,بحر خوں میں شناوری کی ہے ,Faiz Ahamd Faiz
جو گزرتے تھے داغؔ پر صدمے ,اب وہی کیفیت سبھی کی ہے ,Faiz Ahamd Faiz
ہر سمت پریشاں تری آمد کے قرینے ,دھوکے دئیے کیا کیا ہمیں باد سحری نے ,Faiz Ahamd Faiz
ہر منزل غربت پہ گماں ہوتا ہے گھر کا ,بہلایا ہے ہر گام بہت دربدری نے ,Faiz Ahamd Faiz
تھے بزم میں سب دود سر بزم سے شاداں ,بیکار جلایا ہمیں روشن نظری نے ,Faiz Ahamd Faiz
مے خانے میں عاجز ہوئے آزردہ دلی سے ,مسجد کا نہ رکھا ہمیں آشفتہ سری نے ,Faiz Ahamd Faiz
یہ جامۂ صد چاک بدل لینے میں کیا تھا ,مہلت ہی نہ دی فیضؔ کبھی بخیہ گری نے ,Faiz Ahamd Faiz
وہ عہد غم کی کاہش ہائے بے حاصل کو کیا سمجھے ,جو ان کی مختصر روداد بھی صبر آزما سمجھے ,Faiz Ahamd Faiz
یہاں وابستگی واں برہمی کیا جانیے کیوں ہے ,نہ ہم اپنی نظر سمجھے نہ ہم ان کی ادا سمجھے ,Faiz Ahamd Faiz
فریب آرزو کی سہل انگاری نہیں جاتی ,ہم اپنے دل کی دھڑکن کو تری آواز پا سمجھے ,Faiz Ahamd Faiz
تمہاری ہر نظر سے منسلک ہے رشتۂ ہستی ,مگر یہ دور کی باتیں کوئی نادان کیا سمجھے ,Faiz Ahamd Faiz
نہ پوچھو عہد الفت کی بس اک خواب پریشاں تھا ,نہ دل کو راہ پر لائے نہ دل کا مدعا سمجھے ,Faiz Ahamd Faiz
کس شہر نہ شہرہ ہوا نادانئ دل کا ,کس پر نہ کھلا راز پریشانئ دل کا ,Faiz Ahamd Faiz
آؤ کریں محفل پہ زر زخم نمایاں ,چرچا ہے بہت بے سر و سامانئ دل کا ,Faiz Ahamd Faiz
دیکھ آئیں چلو کوئے نگاراں کا خرابہ ,شاید کوئی محرم ملے ویرانئ دل کا ,Faiz Ahamd Faiz
پوچھو تو ادھر تیر فگن کون ہے یارو ,سونپا تھا جسے کام نگہبانئ دل کا ,Faiz Ahamd Faiz
دیکھو تو کدھر آج رخ باد صبا ہے ,کس رہ سے پیام آیا ہے زندانئ دل کا ,Faiz Ahamd Faiz
اترے تھے کبھی فیضؔ وہ آئینۂ دل میں ,عالم ہے وہی آج بھی حیرانئ دل کا ,Faiz Ahamd Faiz
پھر آئینۂ عالم شاید کہ نکھر جائے ,پھر اپنی نظر شاید تا حد نظر جائے ,Faiz Ahamd Faiz
صحرا پہ لگے پہرے اور قفل پڑے بن پر ,اب شہر بدر ہو کر دیوانہ کدھر جائے ,Faiz Ahamd Faiz
خاک رہ جاناں پر کچھ خوں تھا گرو اپنا ,اس فصل میں ممکن ہے یہ قرض اتر جائے ,Faiz Ahamd Faiz
دیکھ آئیں چلو ہم بھی جس بزم میں سنتے ہیں ,جو خندہ بہ لب آئے وہ خاک بسر جائے ,Faiz Ahamd Faiz
یا خوف سے در گزریں یا جاں سے گزر جائیں ,مرنا ہے کہ جینا ہے اک بات ٹھہر جائے ,Faiz Ahamd Faiz
کسی گماں پہ توقع زیادہ رکھتے ہیں ,پھر آج کوئے بتاں کا ارادہ رکھتے ہیں ,Faiz Ahamd Faiz
بہار آئے گی جب آئے گی یہ شرط نہیں ,کہ تشنہ کام رہیں گرچہ بادہ رکھتے ہیں ,Faiz Ahamd Faiz
تری نظر کا گلہ کیا جو ہے گلہ دل کا ,تو ہم سے ہے کہ تمنا زیادہ رکھتے ہیں ,Faiz Ahamd Faiz
نہیں شراب سے رنگیں تو غرق خوں ہیں کہ ہم ,خیال وضع قمیص و لبادہ رکھتے ہیں ,Faiz Ahamd Faiz
غم جہاں ہو غم یار ہو کہ تیر ستم ,جو آئے آئے کہ ہم دل کشادہ رکھتے ہیں ,Faiz Ahamd Faiz
جواب واعظ چابک زباں میں فیضؔ ہمیں ,یہی بہت ہیں جو دو حرف سادہ رکھتے ہیں ,Faiz Ahamd Faiz
وہیں ہیں دل کے قرائن تمام کہتے ہیں ,وہ اک خلش کہ جسے تیرا نام کہتے ہیں ,Faiz Ahamd Faiz
تم آ رہے ہو کہ بجتی ہیں میری زنجیریں ,نہ جانے کیا مرے دیوار و بام کہتے ہیں ,Faiz Ahamd Faiz
یہی کنار فلک کا سیہ تریں گوشہ ,یہی ہے مطلع ماہ تمام کہتے ہیں ,Faiz Ahamd Faiz
پیو کہ مفت لگا دی ہے خون دل کی کشید ,گراں ہے اب کے مئے لالہ فام کہتے ہیں ,Faiz Ahamd Faiz
فقیہ شہر سے مے کا جواز کیا پوچھیں ,کہ چاندنی کو بھی حضرت حرام کہتے ہیں ,Faiz Ahamd Faiz
نوائے مرغ کو کہتے ہیں اب زیان چمن ,کھلے نہ پھول اسے انتظام کہتے ہیں ,Faiz Ahamd Faiz
کہو تو ہم بھی چلیں فیضؔ اب نہیں سر دار ,وہ فرق مرتبۂ خاص و عام کہتے ہیں ,Faiz Ahamd Faiz
کیے آرزو سے پیماں جو مآل تک نہ پہنچے ,شب و روز آشنائی مہ و سال تک نہ پہنچے ,Faiz Ahamd Faiz
وہ نظر بہم نہ پہنچی کہ محیط حسن کرتے ,تری دید کے وسیلے خد و خال تک نہ پہنچے ,Faiz Ahamd Faiz
وہی چشمۂ بقا تھا جسے سب سراب سمجھے ,وہی خواب معتبر تھے جو خیال تک نہ پہنچے ,Faiz Ahamd Faiz
ترا لطف وجہ تسکیں نہ قرار شرح غم سے ,کہ ہیں دل میں وہ گلے بھی جو ملال تک نہ پہنچے ,Faiz Ahamd Faiz
کوئی یار جاں سے گزرا کوئی ہوش سے نہ گزرا ,یہ ندیم یک دو ساغر مرے حال تک نہ پہنچے ,Faiz Ahamd Faiz
چلو فیضؔ دل جلائیں کریں پھر سے عرض جاناں ,وہ سخن جو لب تک آئے پہ سوال تک نہ پہنچے ,Faiz Ahamd Faiz
یہ موسم گل گرچہ طرب خیز بہت ہے ,احوال گل و لالہ غم انگیز بہت ہے ,Faiz Ahamd Faiz
خوش دعوت یاراں بھی ہے یلغار عدو بھی ,کیا کیجیے دل کا جو کم آمیز بہت ہے ,Faiz Ahamd Faiz
یوں پیر مغاں شیخ حرم سے ہوئے یک جاں ,مے خانے میں کم ظرفئ پرہیز بہت ہے ,Faiz Ahamd Faiz
اک گردن مخلوق جو ہر حال میں خم ہے ,اک بازوئے قاتل ہے کہ خوں ریز بہت ہے ,Faiz Ahamd Faiz
کیوں مشعل دل فیضؔ چھپاؤ تہ داماں ,بجھ جائے گی یوں بھی کہ ہوا تیز بہت ہے ,Faiz Ahamd Faiz
شاخ پر خون گل رواں ہے وہی ,شوخیٔ رنگ گلستاں ہے وہی ,Faiz Ahamd Faiz
سر وہی ہے تو آستاں ہے وہی ,جاں وہی ہے تو جان جاں ہے وہی ,Faiz Ahamd Faiz
اب جہاں مہرباں نہیں کوئی ,کوچۂ یار مہرباں ہے وہی ,Faiz Ahamd Faiz
برق سو بار گر کے خاک ہوئی ,رونق خاک آشیاں ہے وہی ,Faiz Ahamd Faiz
آج کی شب وصال کی شب ہے ,دل سے ہر روز داستاں ہے وہی ,Faiz Ahamd Faiz
چاند تارے ادھر نہیں آتے ,ورنہ زنداں میں آسماں ہے وہی ,Faiz Ahamd Faiz
پھر لوٹا ہے خورشید جہاں تاب سفر سے ,پھر نور سحر دست و گریباں ہے سحر سے ,Faiz Ahamd Faiz
پھر آگ بھڑکنے لگی ہر ساز طرب میں ,پھر شعلے لپکنے لگے ہر دیدۂ تر سے ,Faiz Ahamd Faiz
پھر نکلا ہے دیوانہ کوئی پھونک کے گھر کو ,کچھ کہتی ہے ہر راہ ہر اک راہ گزر سے ,Faiz Ahamd Faiz
وہ رنگ ہے امسال گلستاں کی فضا کا ,اوجھل ہوئی دیوار قفس حد نظر سے ,Faiz Ahamd Faiz
ساغر تو کھنکتے ہیں شراب آئے نہ آئے ,بادل تو گرجتے ہیں گھٹا برسے نہ برسے ,Faiz Ahamd Faiz
پاپوش کی کیا فکر ہے دستار سنبھالا ,پایاب ہے جو موج گزر جائے گی سر سے ,Faiz Ahamd Faiz
کچھ دن سے انتظار سوال دگر میں ہے ,وہ مضمحل حیا جو کسی کی نظر میں ہے ,Faiz Ahamd Faiz
سیکھی یہیں مرے دل کافر نے بندگی ,رب کریم ہے تو تری رہ گزر میں ہے ,Faiz Ahamd Faiz
ماضی میں جو مزا مری شام و سحر میں تھا ,اب وہ فقط تصور شام و سحر میں ہے ,Faiz Ahamd Faiz
کیا جانے کس کو کس سے ہے اب داد کی طلب ,وہ غم جو میرے دل میں ہے تیری نظر میں ہے ,Faiz Ahamd Faiz
عجز اہل ستم کی بات کرو ,عشق کے دم قدم کی بات کرو ,Faiz Ahamd Faiz
بزم اہل طرب کو شرماؤ ,بزم اصحاب غم کی بات کرو ,Faiz Ahamd Faiz
بزم ثروت کے خوش نشینوں سے ,عظمت چشم نم کی بات کرو ,Faiz Ahamd Faiz
ہے وہی بات یوں بھی اور یوں بھی ,تم ستم یا کرم کی بات کرو ,Faiz Ahamd Faiz
خیر ہیں اہل دیر جیسے ہیں ,آپ اہل حرم کی بات کرو ,Faiz Ahamd Faiz
ہجر کی شب تو کٹ ہی جائے گی ,روز وصل صنم کی بات کرو ,Faiz Ahamd Faiz
جان جائیں گے جاننے والے ,فیضؔ فرہاد و جم کی بات کرو ,Faiz Ahamd Faiz
شرح بے دردئ حالات نہ ہونے پائی ,اب کے بھی دل کی مدارات نہ ہونے پائی ,Faiz Ahamd Faiz
پھر وہی وعدہ جو اقرار نہ بننے پایا ,پھر وہی بات جو اثبات نہ ہونے پائی ,Faiz Ahamd Faiz
پھر وہ پروانے جنہیں اذن شہادت نہ ملا ,پھر وہ شمعیں کہ جنہیں رات نہ ہونے پائی ,Faiz Ahamd Faiz
پھر وہی جاں بلبی لذت مے سے پہلے ,پھر وہ محفل جو خرابات نہ ہونے پائی ,Faiz Ahamd Faiz
پھر دم دید رہے چشم و نظر دید طلب ,پھر شب وصل ملاقات نہ ہونے پائی ,Faiz Ahamd Faiz
پھر وہاں باب اثر جانئے کب بند ہوا ,پھر یہاں ختم مناجات نہ ہونے پائی ,Faiz Ahamd Faiz
فیضؔ سر پر جو ہر اک روز قیامت گزری ,ایک بھی روز مکافات نہ ہونے پائی ,Faiz Ahamd Faiz
غم بہ دل شکر بہ لب مست و غزل خواں چلیے ,جب تلک ساتھ ترے عمر گریزاں چلیے ,Faiz Ahamd Faiz
رحمت حق سے جو اس سمت کبھی راہ ملے ,سوئے جنت بھی براہ رہ جاناں چلیے ,Faiz Ahamd Faiz
نذر مانگے جو گلستاں سے خداوند جہاں ,ساغر مے میں لیے خون بہاراں چلیے ,Faiz Ahamd Faiz
جب ستانے لگے بے رنگئ دیوار جہاں ,نقش کرنے کوئی تصویر حسیناں چلیے ,Faiz Ahamd Faiz
کچھ بھی ہو آئینۂ دل کو مصفا رکھیے ,جو بھی گزرے مثل خسرو دوراں چلیے ,Faiz Ahamd Faiz
امتحاں جب بھی ہو منظور جگر داروں کا ,محفل یار میں ہمراہ رقیباں چلیے ,Faiz Ahamd Faiz
جیسے ہم بزم ہیں پھر یار طرح دار سے ہم ,رات ملتے رہے اپنے در و دیوار سے ہم ,Faiz Ahamd Faiz
سر خوشی میں یونہی دل شاد و غزل خواں گزرے ,کوئے قاتل سے کبھی کوچۂ دل دار سے ہم ,Faiz Ahamd Faiz
کبھی منزل کبھی رستے نے ہمیں ساتھ دیا ,ہر قدم الجھے رہے قافلہ سالار سے ہم ,Faiz Ahamd Faiz
ہم سے بے بہرہ ہوئی اب جرس گل کی صدا ,ورنہ واقف تھے ہر اک رنگ کی جھنکار سے ہم ,Faiz Ahamd Faiz
فیضؔ جب چاہا جو کچھ چاہا سدا مانگ لیا ,ہاتھ پھیلا کے دل بے زر و دینار سے ہم ,Faiz Ahamd Faiz
یک بیک شورش فغاں کی طرح ,فصل گل آئی امتحاں کی طرح ,Faiz Ahamd Faiz
صحن گلشن میں بہر مشتاقاں ,ہر روش کھنچ گئی کماں کی طرح ,Faiz Ahamd Faiz
